Thresholds	PosteriorCI_pathogenic	PosteriorCI_benign
0.774	0.2163	0.7062
0.773	0.2142	0.7093
0.772	0.2115	0.7123
0.771	0.2133	0.7100
0.770	0.2109	0.7137
0.769	0.2069	0.7183
0.768	0.2048	0.7208
0.767	0.2018	0.7251
0.766	0.1971	0.7319
0.765	0.1952	0.7348
0.764	0.1927	0.7382
0.763	0.1904	0.7411
0.762	0.1874	0.7457
0.761	0.1835	0.7509
0.760	0.1835	0.7505
0.759	0.1854	0.7477
0.758	0.1842	0.7484
0.757	0.1850	0.7473
0.756	0.1838	0.7493
0.755	0.1839	0.7493
0.754	0.1830	0.7498
0.753	0.1825	0.7504
0.752	0.1840	0.7478
0.751	0.1916	0.7375
0.750	0.1913	0.7363
0.749	0.1959	0.7307
0.748	0.1981	0.7270
0.747	0.1995	0.7247
0.746	0.2004	0.7233
0.745	0.1979	0.7258
0.744	0.1952	0.7307
0.743	0.1924	0.7347
0.742	0.1941	0.7320
0.741	0.1955	0.7302
0.740	0.1927	0.7335
0.739	0.1904	0.7368
0.738	0.1907	0.7360
0.737	0.1870	0.7399
0.736	0.1811	0.7501
0.735	0.1771	0.7554
0.734	0.1774	0.7545
0.733	0.1757	0.7574
0.732	0.1738	0.7597
0.731	0.1712	0.7630
0.730	0.1753	0.7570
0.729	0.1759	0.7555
0.728	0.1732	0.7599
0.727	0.1703	0.7638
0.726	0.1708	0.7633
0.725	0.1695	0.7649
0.724	0.1698	0.7651
0.723	0.1682	0.7666
0.722	0.1665	0.7689
0.721	0.1683	0.7663
0.720	0.1698	0.7637
0.719	0.1689	0.7649
0.718	0.1697	0.7643
0.717	0.1703	0.7626
0.716	0.1719	0.7604
0.715	0.1675	0.7674
0.714	0.1647	0.7712
0.713	0.1628	0.7742
0.712	0.1635	0.7733
0.711	0.1653	0.7701
0.710	0.1642	0.7720
0.709	0.1642	0.7716
0.708	0.1635	0.7726
0.707	0.1603	0.7773
0.706	0.1584	0.7799
0.705	0.1574	0.7801
0.704	0.1535	0.7860
0.703	0.1507	0.7897
0.702	0.1517	0.7882
0.701	0.1534	0.7858
0.700	0.1541	0.7854
0.699	0.1548	0.7832
0.698	0.1543	0.7825
0.697	0.1586	0.7774
0.696	0.1578	0.7770
0.695	0.1551	0.7828
0.694	0.1544	0.7840
0.693	0.1521	0.7872
0.692	0.1505	0.7893
0.691	0.1467	0.7955
0.690	0.1458	0.7963
0.689	0.1450	0.7977
0.688	0.1458	0.7971
0.687	0.1459	0.7970
0.686	0.1430	0.8013
0.685	0.1387	0.8068
0.684	0.1345	0.8115
0.683	0.1338	0.8139
0.682	0.1311	0.8172
0.681	0.1283	0.8205
0.680	0.1277	0.8220
0.679	0.1283	0.8207
0.678	0.1273	0.8235
0.677	0.1255	0.8260
0.676	0.1247	0.8269
0.675	0.1252	0.8259
0.674	0.1233	0.8292
0.673	0.1207	0.8329
0.672	0.1266	0.8243
0.671	0.1263	0.8242
0.670	0.1225	0.8295
0.669	0.1225	0.8298
0.668	0.1215	0.8307
0.667	0.1208	0.8312
0.666	0.1185	0.8351
0.665	0.1186	0.8348
0.664	0.1220	0.8298
0.663	0.1215	0.8300
0.662	0.1209	0.8295
0.661	0.1183	0.8346
0.660	0.1171	0.8363
0.659	0.1176	0.8351
0.658	0.1158	0.8381
0.657	0.1159	0.8372
0.656	0.1144	0.8390
0.655	0.1152	0.8376
0.654	0.1124	0.8413
0.653	0.1156	0.8372
0.652	0.1132	0.8406
0.651	0.1123	0.8419
0.650	0.1121	0.8426
0.649	0.1104	0.8447
0.648	0.1079	0.8485
0.647	0.1055	0.8520
0.646	0.1046	0.8530
0.645	0.1034	0.8556
0.644	0.1006	0.8587
0.643	0.0988	0.8624
0.642	0.0990	0.8619
0.641	0.0973	0.8640
0.640	0.0968	0.8650
0.639	0.0959	0.8664
0.638	0.0958	0.8667
0.637	0.0921	0.8719
0.636	0.0923	0.8712
0.635	0.0953	0.8661
0.634	0.0955	0.8661
0.633	0.0941	0.8679
0.632	0.0938	0.8683
0.631	0.0933	0.8694
0.630	0.0902	0.8731
0.629	0.0870	0.8781
0.628	0.0845	0.8818
0.627	0.0849	0.8813
0.626	0.0847	0.8815
0.625	0.0864	0.8792
0.624	0.0866	0.8791
0.623	0.0883	0.8764
0.622	0.0908	0.8727
0.621	0.0908	0.8727
0.620	0.0897	0.8743
0.619	0.0919	0.8716
0.618	0.0920	0.8719
0.617	0.0911	0.8727
0.616	0.0934	0.8697
0.615	0.0930	0.8700
0.614	0.0902	0.8736
0.613	0.0895	0.8741
0.612	0.0894	0.8742
0.611	0.0870	0.8777
0.610	0.0839	0.8823
0.609	0.0843	0.8821
0.608	0.0838	0.8823
0.607	0.0815	0.8854
0.606	0.0804	0.8866
0.605	0.0805	0.8867
0.604	0.0804	0.8867
0.603	0.0781	0.8903
0.602	0.0780	0.8905
0.601	0.0782	0.8902
0.600	0.0769	0.8926
0.599	0.0741	0.8965
0.598	0.0732	0.8976
0.597	0.0700	0.9020
0.596	0.0699	0.9020
0.595	0.0689	0.9038
0.594	0.0694	0.9028
0.593	0.0669	0.9051
0.592	0.0678	0.9054
0.591	0.0679	0.9048
0.590	0.0678	0.9048
0.589	0.0693	0.9026
0.588	0.0695	0.9023
0.587	0.0698	0.9023
0.586	0.0688	0.9031
0.585	0.0703	0.9013
0.584	0.0681	0.9047
0.583	0.0683	0.9045
0.582	0.0666	0.9064
0.581	0.0656	0.9081
0.580	0.0637	0.9111
0.579	0.0641	0.9103
0.578	0.0613	0.9141
0.577	0.0600	0.9157
0.576	0.0604	0.9154
0.575	0.0603	0.9159
0.574	0.0600	0.9157
0.573	0.0599	0.9160
0.572	0.0590	0.9172
0.571	0.0575	0.9192
0.570	0.0565	0.9204
0.569	0.0569	0.9203
0.568	0.0563	0.9210
0.567	0.0537	0.9247
0.566	0.0513	0.9280
0.565	0.0508	0.9289
0.564	0.0499	0.9300
0.563	0.0486	0.9319
0.562	0.0487	0.9316
0.561	0.0492	0.9311
0.560	0.0503	0.9298
0.559	0.0513	0.9279
0.558	0.0499	0.9298
0.557	0.0478	0.9327
0.556	0.0469	0.9338
0.555	0.0469	0.9337
0.554	0.0475	0.9328
0.553	0.0481	0.9319
0.552	0.0481	0.9320
0.551	0.0469	0.9335
0.550	0.0464	0.9347
0.549	0.0469	0.9339
0.548	0.0472	0.9335
0.547	0.0477	0.9329
0.546	0.0471	0.9337
0.545	0.0464	0.9346
0.544	0.0448	0.9366
0.543	0.0461	0.9347
0.542	0.0450	0.9362
0.541	0.0446	0.9368
0.540	0.0445	0.9371
0.539	0.0432	0.9386
0.538	0.0417	0.9410
0.537	0.0418	0.9410
0.536	0.0403	0.9429
0.535	0.0405	0.9424
0.534	0.0393	0.9440
0.533	0.0392	0.9441
0.532	0.0394	0.9439
0.531	0.0400	0.9432
0.530	0.0402	0.9428
0.529	0.0407	0.9418
0.528	0.0412	0.9412
0.527	0.0408	0.9416
0.526	0.0397	0.9435
0.525	0.0391	0.9442
0.524	0.0399	0.9431
0.523	0.0398	0.9430
0.522	0.0387	0.9443
0.521	0.0384	0.9450
0.520	0.0377	0.9456
0.519	0.0387	0.9440
0.518	0.0387	0.9442
0.517	0.0382	0.9449
0.516	0.0383	0.9444
0.515	0.0380	0.9453
0.514	0.0374	0.9459
0.513	0.0369	0.9467
0.512	0.0364	0.9472
0.511	0.0374	0.9460
0.510	0.0378	0.9458
0.509	0.0378	0.9458
0.508	0.0376	0.9462
0.507	0.0362	0.9478
0.506	0.0356	0.9487
0.505	0.0360	0.9481
0.504	0.0352	0.9492
0.503	0.0355	0.9487
0.502	0.0358	0.9484
0.501	0.0353	0.9488
0.500	0.0351	0.9490
0.499	0.0350	0.9491
0.498	0.0349	0.9493
0.497	0.0350	0.9490
0.496	0.0358	0.9479
0.495	0.0361	0.9475
0.494	0.0360	0.9475
0.493	0.0367	0.9466
0.492	0.0366	0.9468
0.491	0.0366	0.9470
0.490	0.0350	0.9493
0.489	0.0359	0.9478
0.488	0.0373	0.9462
0.487	0.0356	0.9485
0.486	0.0348	0.9496
0.485	0.0346	0.9495
0.484	0.0352	0.9486
0.483	0.0346	0.9497
0.482	0.0354	0.9485
0.481	0.0371	0.9461
0.480	0.0359	0.9476
0.479	0.0344	0.9497
0.478	0.0343	0.9498
0.477	0.0341	0.9503
0.476	0.0344	0.9499
0.475	0.0341	0.9502
0.474	0.0337	0.9505
0.473	0.0335	0.9508
0.472	0.0334	0.9509
0.471	0.0329	0.9518
0.470	0.0324	0.9522
0.469	0.0332	0.9510
0.468	0.0318	0.9530
0.467	0.0317	0.9533
0.466	0.0312	0.9536
0.465	0.0311	0.9540
0.464	0.0314	0.9536
0.463	0.0311	0.9540
0.462	0.0299	0.9559
0.461	0.0308	0.9546
0.460	0.0298	0.9561
0.459	0.0302	0.9556
0.458	0.0309	0.9545
0.457	0.0310	0.9546
0.456	0.0317	0.9539
0.455	0.0316	0.9536
0.454	0.0303	0.9556
0.453	0.0300	0.9561
0.452	0.0294	0.9572
0.451	0.0290	0.9575
0.450	0.0286	0.9579
0.449	0.0295	0.9566
0.448	0.0288	0.9576
0.447	0.0267	0.9604
0.446	0.0271	0.9598
0.445	0.0268	0.9605
0.444	0.0265	0.9610
0.443	0.0261	0.9618
0.442	0.0261	0.9620
0.441	0.0250	0.9635
0.440	0.0241	0.9649
0.439	0.0232	0.9660
0.438	0.0241	0.9648
0.437	0.0238	0.9653
0.436	0.0239	0.9650
0.435	0.0235	0.9657
0.434	0.0238	0.9652
0.433	0.0240	0.9647
0.432	0.0246	0.9640
0.431	0.0250	0.9633
0.430	0.0252	0.9633
0.429	0.0253	0.9633
0.428	0.0253	0.9632
0.427	0.0259	0.9623
0.426	0.0256	0.9627
0.425	0.0245	0.9642
0.424	0.0245	0.9642
0.423	0.0243	0.9642
0.422	0.0237	0.9650
0.421	0.0224	0.9668
0.420	0.0216	0.9677
0.419	0.0212	0.9684
0.418	0.0207	0.9692
0.417	0.0200	0.9701
0.416	0.0199	0.9703
0.415	0.0197	0.9704
0.414	0.0196	0.9705
0.413	0.0201	0.9700
0.412	0.0203	0.9696
0.411	0.0210	0.9687
0.410	0.0213	0.9680
0.409	0.0218	0.9677
0.408	0.0212	0.9683
0.407	0.0215	0.9679
0.406	0.0212	0.9683
0.405	0.0223	0.9666
0.404	0.0225	0.9662
0.403	0.0232	0.9653
0.402	0.0239	0.9645
0.401	0.0222	0.9669
0.400	0.0217	0.9676
0.399	0.0211	0.9684
0.398	0.0207	0.9690
0.397	0.0197	0.9703
0.396	0.0194	0.9707
0.395	0.0177	0.9730
0.394	0.0172	0.9736
0.393	0.0175	0.9734
0.392	0.0167	0.9746
0.391	0.0169	0.9745
0.390	0.0180	0.9730
0.389	0.0173	0.9741
0.388	0.0179	0.9731
0.387	0.0190	0.9717
0.386	0.0194	0.9710
0.385	0.0189	0.9716
0.384	0.0186	0.9720
0.383	0.0188	0.9717
0.382	0.0182	0.9725
0.381	0.0180	0.9727
0.380	0.0174	0.9731
0.379	0.0177	0.9732
0.378	0.0167	0.9744
0.377	0.0168	0.9743
0.376	0.0157	0.9756
0.375	0.0161	0.9751
0.374	0.0153	0.9763
0.373	0.0166	0.9745
0.372	0.0170	0.9740
0.371	0.0175	0.9732
0.370	0.0175	0.9732
0.369	0.0174	0.9734
0.368	0.0174	0.9732
0.367	0.0177	0.9727
0.366	0.0180	0.9722
0.365	0.0186	0.9714
0.364	0.0184	0.9717
0.363	0.0183	0.9718
0.362	0.0182	0.9719
0.361	0.0184	0.9714
0.360	0.0190	0.9706
0.359	0.0185	0.9712
0.358	0.0186	0.9709
0.357	0.0184	0.9713
0.356	0.0176	0.9724
0.355	0.0173	0.9728
0.354	0.0172	0.9730
0.353	0.0171	0.9730
0.352	0.0163	0.9742
0.351	0.0169	0.9733
0.350	0.0166	0.9738
0.349	0.0149	0.9763
0.348	0.0142	0.9773
0.347	0.0134	0.9786
0.346	0.0136	0.9780
0.345	0.0137	0.9780
0.344	0.0144	0.9771
0.343	0.0125	0.9798
0.342	0.0112	0.9817
0.341	0.0108	0.9821
0.340	0.0104	0.9828
0.339	0.0104	0.9827
0.338	0.0104	0.9828
0.337	0.0098	0.9836
0.336	0.0093	0.9844
0.335	0.0090	0.9848
0.334	0.0089	0.9849
0.333	0.0086	0.9855
0.332	0.0085	0.9856
0.331	0.0086	0.9854
0.330	0.0083	0.9860
0.329	0.0084	0.9858
0.328	0.0079	0.9865
0.327	0.0078	0.9866
0.326	0.0086	0.9857
0.325	0.0085	0.9858
0.324	0.0087	0.9855
0.323	0.0085	0.9859
0.322	0.0084	0.9859
0.321	0.0089	0.9851
0.320	0.0094	0.9845
0.319	0.0101	0.9836
0.318	0.0100	0.9837
0.317	0.0095	0.9841
0.316	0.0096	0.9840
0.315	0.0103	0.9831
0.314	0.0108	0.9823
0.313	0.0111	0.9819
0.312	0.0112	0.9818
0.311	0.0116	0.9812
0.310	0.0116	0.9812
0.309	0.0115	0.9813
0.308	0.0115	0.9814
0.307	0.0116	0.9814
0.306	0.0122	0.9805
0.305	0.0110	0.9821
0.304	0.0117	0.9811
0.303	0.0115	0.9814
0.302	0.0117	0.9813
0.301	0.0119	0.9811
0.300	0.0117	0.9812
0.299	0.0121	0.9806
0.298	0.0120	0.9807
0.297	0.0116	0.9812
0.296	0.0114	0.9816
0.295	0.0109	0.9822
0.294	0.0105	0.9827
0.293	0.0104	0.9827
0.292	0.0109	0.9820
0.291	0.0112	0.9817
0.290	0.0109	0.9818
0.289	0.0104	0.9828
0.288	0.0099	0.9833
0.287	0.0092	0.9845
0.286	0.0086	0.9854
0.285	0.0087	0.9852
0.284	0.0092	0.9846
0.283	0.0096	0.9839
0.282	0.0090	0.9848
0.281	0.0094	0.9842
0.280	0.0097	0.9838
0.279	0.0097	0.9839
0.278	0.0095	0.9840
0.277	0.0096	0.9837
0.276	0.0089	0.9848
0.275	0.0089	0.9847
0.274	0.0088	0.9850
0.273	0.0093	0.9841
0.272	0.0096	0.9837
0.271	0.0100	0.9832
0.270	0.0095	0.9839
0.269	0.0085	0.9852
0.268	0.0080	0.9859
0.267	0.0071	0.9872
0.266	0.0070	0.9873
0.265	0.0073	0.9867
0.264	0.0077	0.9863
0.263	0.0082	0.9856
0.262	0.0073	0.9869
0.261	0.0066	0.9880
0.260	0.0065	0.9881
0.259	0.0071	0.9874
0.258	0.0062	0.9886
0.257	0.0060	0.9889
0.256	0.0061	0.9888
0.255	0.0056	0.9895
0.254	0.0056	0.9896
0.253	0.0053	0.9901
0.252	0.0054	0.9899
0.251	0.0052	0.9902
0.250	0.0050	0.9905
0.249	0.0046	0.9912
0.248	0.0048	0.9910
0.247	0.0047	0.9910
0.246	0.0058	0.9895
0.245	0.0055	0.9900
0.244	0.0057	0.9897
0.243	0.0062	0.9890
0.242	0.0057	0.9898
0.241	0.0061	0.9891
0.240	0.0064	0.9886
0.239	0.0060	0.9891
0.238	0.0051	0.9903
0.237	0.0051	0.9903
0.236	0.0052	0.9903
0.235	0.0051	0.9904
0.234	0.0052	0.9901
0.233	0.0050	0.9903
0.232	0.0050	0.9901
0.231	0.0053	0.9900
0.230	0.0053	0.9901
0.229	0.0052	0.9901
0.228	0.0054	0.9897
0.227	0.0053	0.9898
0.226	0.0042	0.9913
0.225	0.0047	0.9906
0.224	0.0051	0.9901
0.223	0.0047	0.9907
0.222	0.0050	0.9903
0.221	0.0045	0.9909
0.220	0.0044	0.9911
0.219	0.0050	0.9903
0.218	0.0049	0.9904
0.217	0.0053	0.9898
0.216	0.0051	0.9903
0.215	0.0052	0.9902
0.214	0.0047	0.9909
0.213	0.0052	0.9902
0.212	0.0046	0.9909
0.211	0.0046	0.9910
0.210	0.0046	0.9911
0.209	0.0046	0.9910
0.208	0.0048	0.9908
0.207	0.0050	0.9904
0.206	0.0045	0.9912
0.205	0.0036	0.9925
0.204	0.0035	0.9928
0.203	0.0035	0.9927
0.202	0.0038	0.9923
0.201	0.0036	0.9925
0.200	0.0033	0.9931
0.199	0.0035	0.9927
0.198	0.0033	0.9929
0.197	0.0035	0.9926
0.196	0.0032	0.9929
0.195	0.0040	0.9919
0.194	0.0037	0.9924
0.193	0.0037	0.9924
0.192	0.0034	0.9928
0.191	0.0036	0.9924
0.190	0.0034	0.9928
0.189	0.0030	0.9934
0.188	0.0030	0.9935
0.187	0.0034	0.9929
0.186	0.0034	0.9928
0.185	0.0031	0.9931
0.184	0.0031	0.9932
0.183	0.0031	0.9933
0.182	0.0032	0.9932
0.181	0.0030	0.9932
0.180	0.0031	0.9932
0.179	0.0028	0.9937
0.178	0.0030	0.9933
0.177	0.0023	0.9944
0.176	0.0023	0.9943
0.175	0.0023	0.9943
0.174	0.0024	0.9941
0.173	0.0024	0.9944
0.172	0.0025	0.9942
0.171	0.0029	0.9936
0.170	0.0027	0.9939
0.169	0.0023	0.9945
0.168	0.0025	0.9942
0.167	0.0025	0.9941
0.166	0.0028	0.9937
0.165	0.0029	0.9934
0.164	0.0030	0.9933
0.163	0.0031	0.9932
0.162	0.0032	0.9930
0.161	0.0031	0.9932
0.160	0.0034	0.9928
0.159	0.0031	0.9934
0.158	0.0031	0.9934
0.157	0.0034	0.9928
0.156	0.0031	0.9932
0.155	0.0029	0.9937
0.154	0.0027	0.9940
0.153	0.0030	0.9934
0.152	0.0029	0.9937
0.151	0.0029	0.9937
0.150	0.0029	0.9937
0.149	0.0026	0.9941
0.148	0.0024	0.9946
0.147	0.0023	0.9946
0.146	0.0018	0.9954
0.145	0.0018	0.9956
0.144	0.0018	0.9955
0.143	0.0016	0.9959
0.142	0.0017	0.9957
0.141	0.0018	0.9956
0.140	0.0014	0.9962
0.139	0.0014	0.9961
0.138	0.0015	0.9959
